10
Italy,417203,374036,4119,733861,424033,993113,664116,784391,372567,850421,0,95591,526083,557214,913672,909706,94630,606761,640592,395633
Lithuania,363013,873418,902065,995967,460452,784423,128166,55205,819391,690862,279904,0,878626,479007,287265,12062,91991,117238,968490,545381
Moldova,248783,164676,231916,480355,850197,514919,564443,764173,292564,206746,877292,175817,0,377851,704568,992247,957097,285415,975125,101323
Netherlands,22983,565559,561896,453411,997352,544738,110486,221991,452512,32826,334387,376997,198555,0,789213,12130,475659,789494,576794,745806
Romania,586863,929313,325867,531756,297016,364626,863030,563938,919961,998712,163025,788066,427593,988268,0,84975,664086,206678,358341,107724
Russia,776250,16842,579133,127785,699791,653045,384724,5236,261046,192922,748941,698984,223068,425859,848346,0,924823,333047,813014,851975
Spain,797299,771409,456161,496588,744029,599275,379564,91967,961687,133397,151968,980716,777228,912285,613306,388310,0,62440,689814,692810
Sweden,742913,371996,500713,31830,310688,547921,728682,596942,904767,331224,191755,28909,855339,559048,839386,988466,493857,0,859211,340175
Ukraine,883761,815236,892568,494225,848535,824503,528251,370173,323003,977699,493644,1105490,793442,524022,371086,618373,418306,673456,0,174609
United Kingdom,339129,425295,158889,940544,110294,564988,177429,422646,443923,28548,26223,929893,815476,252469,405640,897371,688845,343686,867446,0
